Type,Street Address,City,State,Zip Code,Phone Number
Store,217 East US Highway 223,Algonquin,IL,49221,517-265-7820
Store,400 S. Randall Rd.,Aurora,IL,60102,847-960-7800
Store,3565 Fairlane Drive,Bloomingdale,IL,48101,313-253-1100
Store,2805 West Cheesman Rd.,Bolingbrook,IL,48801,989-576-6100
Store,1251 M 32 W,Bolingbrook,IL,49707,989-884-6100
Store,6610 Scatterfield Road,Bradley,IL,46013,765-683-5200
Store,2990 North Wayne St.,Champaign,IL,46703,260-668-1100
Store,5645 Jackson Rd.,Danville,IL,48103,734-222-0300
Store,3145 Ann Arbor-Saline Road,Elgin,IL,48103,734-769-7800
Store,3801 N Richmond Street,Evergreen Park,IL,54913,920-350-6200
Store,800 Brown Rd.,Flossmoor,IL,48326,248-393-5100
Store,808 N. Route 59,Homer Glen,IL,60504,630-692-6100
Store,10841 E. US Highway 36,Machesney Park,IL,46123,317-273-6000
Store,1810 Nagel Road,McHenry,IL,44011,440-695-2428
Store,100 Pigeon Rd,Mokena,IL,48413,989-623-1400
Store,2191 Columbia Avenue West,Normal,IL,49015,269-968-3371
Store,6405 B Drive North,Orland Park,IL,49014,269-979-6600
Store,2980 Wilder Rd.,Oswego,IL,48706,989-686-7722
Store,595 N. Pine Rd.,Plainfield,IL,48708,989-891-1500
Store,9701 Belleville Road,Rockford,IL,48111,734-697-1500
Store,1920 Pipestone Road,Rolling Meadows,IL,49022,269-926-7204
Store,15400 Waldron Way,Round Lake Beach,IL,49307,231-527-0200
Store,9515 Birch Run Road,Springfield,IL,48415,989-624-1600
Store,130 S. Gary Ave.,St. Charles,IL,60108,630-351-7600
Store,1400 Boardman Canfield Rd,Sycamore,IL,44512,234-287-3040
Store,225 N. Weber Road,Urbana,IL,60490,630-679-6500
Store,755 E. Boughton Rd.,Anderson,IN,60440,630-783-5300
Store,1676 Westpark Dr.,Angola,IN,42104,270-495-6700
Store,2111 East Wooster Street,Avon,IN,43402,419-373-8600
Store,990 N Kinzie Ave,Camby,IN,60915,779-301-8200
Store,8650 W. Grand River Ave.,Carmel,IN,48116,810-227-3404
Store,3800 Center Road,Evansville,IN,44212,234-803-0540
Store,2333 S. Center Road,Fort Wayne,IN,48519,810-744-4000
Store,8605 East 34 Road,Fort Wayne,IN,49601,231-876-2800
Store,1801 Marketplace Dr. S.E.,Fort Wayne,IN,49316,616-656-6100
MEXPRESS,6700 Broadmoor Ave SE,Fort Wayne,IN,49316,616-656-6196
Store,10509 Heartland Blvd.,Franklin,IN,46113,317-821-6800
Store,8300 Meijer Drive,Goshen,IN,43110,614-920-7200
Store,45001 Ford Road,Greenwood,IN,48187,734-981-2600
Store,4934 Fulton Drive,Highland,IN,44718,234-804-0850
Store,1424 West Carmel Drive,Indianapolis,IN,46032,317-573-8300
Store,"3700 17 Mile Rd., N.E.",Indianapolis,IN,49319,616-696-4600
Store,2401 N. Prospect Avenue,Indianapolis,IN,61822,217-353-4000
Store,1167 E. Clinton Trl,Indianapolis,IN,48813,517-541-9200
Store,27255 23 Mile Road,Indianapolis,IN,48051,586-598-0600
Store,3711 Stonecreek Blvd.,Jeffersonville,IN,45251,513-245-7500
Store,3195 Geier Drive,Kokomo,IN,45209,513-458-2400
Store,6550 Harrison Ave.,Lafayette,IN,45247,513-598-2009
Store,888 Eastgate North Drive,Marion,IN,45245,513-943-5700
Store,40445 S. Groesbeck Hwy.,McCordsville,IN,48036,586-239-7000
Store,5400 Alexandria Pike,Merrillville,IN,41076,859-448-4200
Store,620 East Chicago Rd.,Michigan City,IN,49036,517-279-3300
Store,1661 Hilliard-Rome Road,Mishawaka,IN,43228,614-771-4800
Store,5050 N. Hamilton Road,Mishawaka,IN,43230,614-855-4900
Store,1703 Haggerty Hwy,Muncie,IN,48390,248-960-7000
MEXPRESS,"5960 Alpine Ave., N.W.",New Albany,IN,49321,616-785-4731
Store,"4677 Alpine Ave., N.W.",Noblesville,IN,49321,616-785-4850
Store,2591 East M21,Plainfield,IN,48817,989-743-3200
Store,3649 N. Vermilion St.,Portage,IN,61832,217-655-7200
Store,8089 Lapeer Road,Richmond,IN,48423,810-658-5400
Store,5858 Springboro Pike,South Bend,IN,45449,937-436-3500
Store,137 Elliott Rd.,Terre Haute,IN,43512,419-783-2800
Store,1380 Sunbury Rd.,Valparaiso,IN,43015,740-368-1400
Store,1301 W. Eight Mile Rd.,Warsaw,IN,48203,313-369-5200
Store,21431 Grand River Ave,West Lafayette,IN,48219,313-778-7700
Store,12821 Cross Over Dr.,Westfield,IN,48820,517-669-4600
Store,6175 Sawmill Road,Zionsville,IN,43017,614-766-4494
Store,1350 W. Lake Lansing Road,Bowling Green,KY,48823,517-332-2444
Store,7157 E. Saginaw St.,Cold Spring,KY,48823,517-885-9000
Store,815 S. Randall Rd.,Florence,KY,60123,847-717-6500
Store,9200 N. Main St.,Lexington,KY,45415,937-836-1017
Store,505 N 26th St,Lexington,KY,49829,906-233-1100
Store,2622 Menards Dr,Louisville,KY,47715,812-647-2200
Store,9200 S. Western Ave.,Louisville,KY,60805,708-499-8100
Store,3822 Colonel Glenn Hwy,Louisville,KY,45324,937-426-7400
Store,6325 S. Gilmore Rd.,Louisville,KY,45014,513-881-0100
Store,2200 Tiffin Avenue,Owensboro,KY,45840,419-423-2141
Store,26100 Vreeland Rd,Richmond,KY,48134,734-984-1100
Store,2474 W. Hill Road,Adrian,MI,48507,810-235-2700
Store,4990 Houston Rd.,Allen Park,MI,41042,859-746-6300
Store,3800 Vollmer Rd,Alma,MI,60422,708-991-1600
Store,4775 24th Avenue,Alpena,MI,48059,810-385-2100
Store,4242 East Dupont Road,Ann Arbor,MI,48825,260-279-2540
Store,5909 Illinois Rd.,Ann Arbor,MI,46804,260-434-3900
Store,10301 Maysville Road,Auburn Hills,MI,46835,260-492-1300
Store,6309 Lima Rd.,Bad Axe,MI,46818,260-497-1000
Store,2390 N Morton St,Battle Creek,MI,46131,317-346-9610
Store,3651 Towne Blvd.,Battle Creek,MI,45005,513-424-4863
Store,34835 Utica Road,Bay City,MI,48026,586-415-6400
Store,4665 South Green Ave,Bay City,MI,49412,231-538-2828
Store,250 Meijer Drive,Belleville,MI,49735,989-731-9600
Store,4522 Elkhart Road,Benton Harbor,MI,46526,574-875-3000
Store,1600 N. Port Washington Rd,Big Rapids,MI,53024,262-204-2800
Store,15000 U.S. 31,Birch Run,MI,49417,616-847-8000
Store,730 E. Saginaw Hwy,Brighton,MI,48837,517-662-6800
Store,"2425 Alpine Ave., N.W.",Burton,MI,49544,616-364-6281
Store,3757 Plainfield Avenue N.E.,Cadillac,MI,49525,616-365-1400
Store,1997 E. Beltline Ave. N.E.,Caledonia,MI,49525,616-447-1500
Store,1540 28th Street S.E.,Caledonia,MI,49508,616-452-9651
Market,405 Seward Ave NW,Canton,MI,49504,616-649-9000
Store,"315 Wilson Ave., N.W.",Cedar Springs,MI,49534,616-735-2100
MEXPRESS,2988 Walker NW,Charlotte,MI,49544,616-735-5070
Store,5531 28th Street S.E.,Chesterfield,MI,49512,616-949-7200
MEXPRESS,4580 Ivanrest S.W.,Clinton Twp.,MI,49418,616-249-8650
Store,"3434 Century Center St., S.W.",Coldwater,MI,49418,616-724-2800
Store,2015 Shawano Ave,Commerce,MI,54303,920-496-8100
Store,5800 W Layton Ave,Comstock Park,MI,53220,414-304-2000
MEXPRESS,1220 N. Lafayette St.,Comstock Park,MI,48838,616-225-3434
Store,606 S. Greenville West Dr.,Corunna,MI,48838,616-225-7700
Store,150 S. Marlin Drive,Davison,MI,46142,317-885-3000
Store,2811 London-Groveport Rd.,Detroit,MI,43123,614-801-4300
Store,1560 Main Street,Detroit,MI,45013,513-896-2600
Store,2160 Hartland Rd.,DeWitt,MI,48353,810-632-4200
Store,10138 Indianapolis Blvd.,East Lansing,MI,46322,219-934-2100
Store,746 E. 16th Street,East Lansing,MI,49423,616-396-7221
Store,3320 W. Shore Drive,Escanaba,MI,49424,616-994-1100
Store,14169 S. Bell Rd.,Flat Rock,MI,60491,708-645-5800
Store,3883 E. Grand River Ave.,Flint,MI,48843,517-552-6600
Store,7150 Executive Blvd.,Fort Gratiot,MI,45424,937-237-4600
Store,4075 32nd Ave,Fraser,MI,49426,616-229-9400
Store,5349 Pike Plaza Road,Freemont,MI,46254,317-387-2400
Store,8375 E. 96th St.,Gaylord,MI,46256,317-585-2400
Store,"5550 N, Keystone Ave",Grand Haven,MI,46220,317-610-2200
Store,5325 E. Southport Road,Grand Ledge,MI,46237,317-859-2200
Store,11351 E. Washington Street,Grand Rapids,MI,46229,317-894-6700
Store,2770 S. State Rd.,Grand Rapids,MI,48846,616-527-9200
Store,2777 Airport Road,Grand Rapids,MI,49202,517-787-7000
Store,3333 E. Michigan Avenue,Grand Rapids,MI,49202,517-787-8722
Store,2750 Allison Lane,Grand Rapids,MI,47130,812-218-6600
Store,0-550 Baldwin Street,Grand Rapids,MI,49428,616-457-5600
Store,6660 W. Main Street,Grand Rapids,MI,49009,269-372-9100
Store,5800 Gull Road,Grand Rapids,MI,49048,269-382-6250
Store,7701 Green Bay Rd,Grandville,MI,53142,262-612-1600
Store,247 Tallmadge Rd,Grandville,MI,44240,330-977-5600
MEXPRESS,"250 76th St., S.W.",Greenville,MI,49548,616-827-2535
MEXPRESS,"1920 44th St., S.E.",Greenville,MI,49508,616-827-2560
Store,4075 Wilmington Pike,Hartland,MI,45440,937-298-5800
Store,2301 E. Markland Avenue,Holland,MI,46901,765-454-7800
Store,4901 State Road 26 E.,Holland,MI,47905,765-449-9200
Grocery Only,1107 S. Lapeer Road,Howell,MI,48360,248-287-7940
Store,2900 Columbus Lancaster Rd. NW,Hudsonville,MI,43130,740-681-2400
