Name,Address,Phone
Brockport Grocery Store,"6660 4th Section Road Suite 2 Brockport, NY 14420",585-637-3111
Calkins Rd. Grocery Store,"745 Calkins Road Rochester, NY 14623",585-334-4010
Chili Paul Grocery Store,"3175 Chili Avenue Rochester, NY 14624",585-426-5010
East Ave. Grocery Store,"1750 East Avenue Rochester, NY 14610",585-244-7950
Eastway Grocery Store,"1955 Empire Boulevard Webster, NY 14580",585-671-8290
Fairport Grocery Store,"851 Fairport Road East Rochester, NY 14445",585-586-8340
Holt Rd. Grocery Store,"900 Holt Road Webster, NY 14580",585-872-0780
Irondequoit Grocery Store,"525 Titus Avenue Rochester, NY 14617",585-266-4090
Latta Rd. Grocery Store,"3177 Latta Road Rochester, NY 14612",585-723-8260
Lyell Ave. Grocery Store,"2301 Lyell Avenue Rochester, NY 14606",585-429-4400
Marketplace Grocery Store,"650 Hylan Drive Rochester, NY 14623",585-424-7255
Mt. Read Grocery Store,"3701 Mount Read Boulevard Rochester, NY 14616",585-663-4120
Penfield Grocery Store,"2157 Penfield Road Penfield, NY 14526",585-248-3200
Perinton Grocery Store,"6600 Pittsford Palmyra Road Fairport, NY 14450",585-223-4092
Pittsford Grocery Store,"3195 Monroe Avenue Rochester, NY 14618",585-586-6680
Ridge-Culver Grocery Store,"2200 East Ridge Road Rochester, NY 14622",585-342-4810
Ridgemont Grocery Store,"2833 West Ridge Road Rochester, NY 14626",585-723-6000
Alberta Dr. Grocery Store,"675 Alberta Drive Amherst, NY 14226",716-831-6300
Amherst St Grocery Store,"601 Amherst Street Buffalo, NY 14207",716-877-0500
Dick Rd. Grocery Store,"651 Dick Road Depew, NY 14043",716-685-8100
Jamestown Grocery Store,"945 Fairmount Ave Jamestown, NY 14701",716-483-9900
Losson Rd. Grocery Store,"4960 Transit Road Depew, NY 14043",716-685-7300
McKinley Grocery Store,"3740 Mckinley Parkway Buffalo, NY 14219",716-362-8400
Military Rd. Grocery Store,"1577 Military Road Niagara Falls, NY 14304",716-298-3100
Niagara Falls Blvd. Grocery Store,"3135 Niagara Falls Boulevard Amherst, NY 14228",716-691-0800
Sheridan Dr. Grocery Store,"5275 Sheridan Drive Williamsville, NY 14221",716-631-4300
Transit Rd. Grocery Store,"8270 Transit Road Buffalo, NY 14221",716-636-5600
West Seneca Grocery Store,"370 Orchard Park Road West Seneca, NY 14224",716-826-4000
Auburn Grocery Store,"1 Loop Road Auburn, NY 13021",315-255-2231
Canandaigua Grocery Store,"345 Eastern Boulevard Canandaigua, NY 14424",585-394-4820
Geneseo Grocery Store,"4287 Genesee Valley Plaza Road Geneseo, NY 14454",585-243-9000
Geneva Grocery Store,"300 Hamilton Street Geneva, NY 14456",315-781-5800
Ithaca Grocery Store,"500 South Meadow Street Ithaca, NY 14850",607-277-5800
Newark Grocery Store,"800 West Miller Street Newark, NY 14513",315-331-4440
